,cik_str,ticker,title
0,0000789019,MSFT,microsoft corp
1,0000320193,AAPL,apple inc.
2,0001045810,NVDA,nvidia corp
3,0001018724,AMZN,amazon com inc
4,0001652044,GOOGL,alphabet inc.
5,0001326801,META,"meta platforms, inc."
6,0001067983,BRK-B,berkshire hathaway inc
7,0001046179,TSM,taiwan semiconductor manufacturing co ltd
8,0000059478,LLY,eli lilly & co
9,0000353278,NVO,novo nordisk a s
10,0001730168,AVGO,broadcom inc.
11,0001403161,V,visa inc.
12,0001318605,TSLA,"tesla, inc."
13,0000019617,JPM,jpmorgan chase & co
14,0000104169,WMT,walmart inc.
15,0000884394,SPY,spdr s&p 500 etf trust
16,0000731766,UNH,unitedhealth group inc
17,0001141391,MA,mastercard inc
18,0000034088,XOM,exxon mobil corp
19,0000937966,ASML,asml holding nv
20,0000200406,JNJ,johnson & johnson
21,0000080424,PG,procter & gamble co
22,0000354950,HD,"home depot, inc."
23,0001047716,LTMAY,latam airlines group s.a.
24,0001341439,ORCL,oracle corp
25,0000909832,COST,costco wholesale corp /new
26,0000002488,AMD,advanced micro devices inc
27,0001094517,TM,toyota motor corp/
28,0001551152,ABBV,abbvie inc.
29,0000310158,MRK,"merck & co., inc."
30,0001108524,CRM,"salesforce, inc."
31,0000070858,BAC,bank of america corp /de/
32,0000093410,CVX,chevron corp
33,0001065280,NFLX,netflix inc
34,0001832483,SBOT,serve robotics inc. /de/
35,0000021344,KO,coca cola co
36,0000796343,ADBE,adobe inc.
37,0001467373,ACN,accenture plc
38,0001000184,SAP,sap se
39,0000097745,TMO,thermo fisher scientific inc.
40,0001707925,LIN,linde plc
41,0000077476,PEP,pepsico inc
42,0001061736,FMX,mexican economic development inc
43,0000063908,MCD,mcdonalds corp
44,0000001800,ABT,abbott laboratories
45,0000901832,AZN,astrazeneca plc
46,0001306965,SHEL,shell plc
47,0000072971,WFC,wells fargo & company/mn
48,0001744489,DIS,walt disney co
49,0001114448,NVS,novartis ag
50,0000858877,CSCO,"cisco systems, inc."
51,0001283699,TMUS,"t-mobile us, inc."
52,0000804328,QCOM,qualcomm inc/de
53,0000050863,INTC,intel corp
54,0001577552,BABA,alibaba group holding ltd
55,0000313616,DHR,danaher corp /de/
56,0000896878,INTU,intuit inc.
57,0000040545,GE,general electric co
58,0000051143,IBM,international business machines corp
59,0001067839,QQQ,"invesco qqq trust, series 1"
60,0001166691,CMCSA,comcast corp
61,0000732712,VZ,verizon communications inc
62,0000006951,AMAT,applied materials inc /de
63,0000018230,CAT,caterpillar inc
64,0001373715,NOW,"servicenow, inc."
65,0001543151,UBER,"uber technologies, inc"
66,0000004962,AXP,american express co
67,0000097476,TXN,texas instruments inc
68,0000078003,PFE,pfizer inc
69,0001737806,PDD,pdd holdings inc.
70,0000879764,TTE,totalenergies se
71,0000100885,UNP,union pacific corp
72,0000320187,NKE,"nike, inc."
